#,Name,Artist,Genre,Popularity,Score
1,Chatter,The Paper Jets,Pop,0.0,0.9810554078176542
2,Out on the Blue,Belle Adair,Pop,1.0,0.980503549493034
3,Corner of the Bar,Mike Johnson,Rock,0.0,0.9780237683822552
4,Loose Shoes,Cave States,Folk,0.0,0.9750426875022278
5,Homesick,Paradise Hymns,Folk,1.0,0.974492239919844
6,Money Go Round,Cloudwatchers,Folk,0.0,0.9733562686112593
7,A King to Come (feat. Tayler Gust),"Hopefulson"", ""Tayler Gust",Folk,5.0,0.9733308000879424
8,Madeline,Aeternitas,Rock,6.0,0.9719883954132988
9,Lookin' Out,Annie Crane,Folk,0.0,0.9712825289109507
10,Found,Cloudwatchers,Folk,0.0,0.9700427526083967
11,Tree Trunks,Basement Revolver,Rock,10.0,0.9687667823133255
12,She Lied to Me,Dischordian,Pop,0.0,0.9677259222744229
13,Live Forever In A Day,Ten Falls Forth,Rock,2.0,0.9673943202797003
14,For Ùir,Falloch,Rock,4.0,0.9671694143511765
15,Old Town Road,Anne E. DeChant,Folk,1.0,0.9668730446021069
16,Love Captive,Laetitia Sadier Source Ensemble,Pop,5.0,0.9665249081957323
17,Holy Spirit Breathe,Dennis Lamar,R&B,2.0,0.966224283966319
18,Finite Infinite (Acoustic),Degrees of Truth,Rock,4.0,0.9661772186858576
19,The Collector,Beyond God,Rock,2.0,0.9655880563844201
20,Something Inside,Ethan Senger,Folk,10.0,0.9646303378832148
21,Getting over You,Maryjo Mattea,Pop,0.0,0.9645750579442229
22,Drift,Grey Skies Fallen,Rock,1.0,0.9642887538108328
23,Sugar Me Timbers,Trevor and the Joneses,Rock,2.0,0.9633464625839421
24,Are You Tired?,The Foxymorons,Pop,1.0,0.9631857959990247
25,Jus Primae Noctis,The Silent Type,Rock,1.0,0.9627465604204711
26,When Lightning Strikes,Beyond God,Rock,2.0,0.9621608622199768
27,Panic,Accents,Pop,7.0,0.9621191040912196
28,The Fletcher Memorial Home,Celtic Pink Floyd,Folk,6.0,0.9614762027570709
29,Black Is The Colour,Ciara Considine,Folk,1.0,0.9610354778442719
